split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-04-13T07:02:00-05:00,2026_04.csv,5,-0.0663121448021019,1.4009188953484,ACTIVE,0
TRAIN,2026-04-13T18:10:00-05:00,2026_04.csv,4,-1.17436168029452,-3.04642456953914,QUIET,5
TRAIN,2026-04-13T19:06:00-05:00,2026_04.csv,5,-0.560957099187441,0.100898513567052,ACTIVE,0
TRAIN,2026-04-14T00:21:00-05:00,2026_04.csv,8,-0.971878623781218,-1.61648694463385,QUIET,5
TRAIN,2026-04-14T01:24:00-05:00,2026_04.csv,9,-0.427321723250538,0.407692088860289,ACTIVE,0
TRAIN,2026-04-14T04:02:00-05:00,2026_04.csv,3,-1.51791443457061,-2.2061826641876,QUIET,5
TRAIN,2026-04-14T06:00:00-05:00,2026_04.csv,8,-0.235511589078707,1.24825251459861,ACTIVE,0
TRAIN,2026-04-14T20:48:00-05:00,2026_04.csv,4,-2.97434398028123,-3.07851856132733,QUIET,2
TRAIN,2026-04-14T21:42:00-05:00,2026_04.csv,4,-0.206542553290534,1.244734141139,ACTIVE,0
TRAIN,2026-04-15T00:00:00-05:00,2026_04.csv,4,0.963997617174632,-0.333379315284475,QUIET,3
TRAIN,2026-04-15T00:51:00-05:00,2026_04.csv,8,-0.261753383879867,1.87674322785537,ACTIVE,0
TRAIN,2026-04-15T04:01:00-05:00,2026_04.csv,7,-0.185634949646602,-0.858958977103474,ACTIVE,3
TRAIN,2026-04-15T05:33:00-05:00,2026_04.csv,7,-3.3712442968838,1.33022000984734,QUIET,2
TRAIN,2026-04-15T11:23:00-05:00,2026_04.csv,8,-1.08022543774071,-3.44363237034049,QUIET,5
TRAIN,2026-04-15T11:56:00-05:00,2026_04.csv,10,0.0899251905811906,2.16686077805677,ACTIVE,0
TRAIN,2026-04-15T20:44:00-05:00,2026_04.csv,9,-1.38572863152183,-3.13066717287389,QUIET,5
TRAIN,2026-04-16T00:02:00-05:00,2026_04.csv,0,-0.184933935304455,0.721669956621519,ACTIVE,0
TRAIN,2026-04-16T02:40:00-05:00,2026_04.csv,8,-1.59811224094129,-1.76497364282085,QUIET,5
TRAIN,2026-04-16T02:40:00-05:00,2026_04.csv,8,-1.38426938060906,-1.79185832427471,QUIET,5
TRAIN,2026-04-16T05:47:00-05:00,2026_04.csv,12,-0.113990628124759,1.66337314802235,ACTIVE,0
TRAIN,2026-04-16T08:55:00-05:00,2026_04.csv,7,-0.0671145790730893,3.22982179564915,ACTIVE,0
TRAIN,2026-04-16T11:18:00-05:00,2026_04.csv,9,-0.994337214805922,-3.70010308981925,QUIET,5
TRAIN,2026-04-16T13:28:00-05:00,2026_04.csv,12,0.167369864849903,2.95088620958758,ACTIVE,0
TRAIN,2026-04-16T20:07:00-05:00,2026_04.csv,2,0.129229998756625,-0.840629320361858,ACTIVE,3
TRAIN,2026-04-17T00:03:00-05:00,2026_04.csv,7,-0.214809858728708,1.59448719141642,ACTIVE,0
TRAIN,2026-04-17T11:36:00-05:00,2026_04.csv,3,-1.55717621844265,-3.55508162127217,QUIET,5
